name,price,rating,number_of_reviews,url,ram,rating_rounded,price_category
"Acer Chromebook 315 15.6 inch Laptop Intel Processor N4500 4GB RAM 64GB eMMC Pure Silver, ChromeOS",139.0,4.4,5909,https://walmart.com/ip/Acer-Chromebook-315-15-6-inch-Laptop-Intel-Processor-N4500-4GB-RAM-64GB-eMMC-Pure-Silver/3193557250?classType=VARIANT&athbdg=L1300,4,4.5,Cheap
"Restored Apple MacBook Air 13.3-inch Intel Core i5 8GB RAM Mac OS 128GB SSD Bundle: USA Essentials Bluetooth/Wireless Airbuds, Black Case, Wireless Mouse By Certified 2 Day Express (Refurbished)",217.0,3.8,867,https://walmart.com/ip/Restored-Apple-MacBook-Air-13-3-inch-Intel-Core-i5-8GB-RAM-Mac-OS-128GB-SSD-Bundle-USA-Essentials-Bluetooth-Wireless-Airbuds-Black-Case-Wireless-Mous/1245052032?classType=VARIANT,8,4.0,Cheap
"Auusda 15.6"" Laptop Computer Intel N95 up to 3.4 GHz, 32GB DDR4 RAM, 1TB NVMe SSD, Windows 11 Pro",338.0,3.8,345,https://walmart.com/ip/Auusda-15-6-Laptop-Computer-Intel-N95-up-to-3-4-GHz-32GB-DDR4-RAM-1TB-NVMe-SSD-Windows-11-Pro/2783683137?classType=VARIANT,32,4.0,Cheap
"Dell Latitude 3500 15.6"" Laptop PC | Intel Core i5 8th Gen (1.6) | 16GB RAM | 256GB SSD | Windows 11 | Home or Office Computer",268.0,3.6,40,https://walmart.com/ip/Restored-Dell-Latitude-3500-15-6-Laptop-PC-Intel-Core-i5-8th-Gen-1-6-8GB-RAM-500GB-HDD-Windows-11-Home-or-Office-Computer-Refurbished/9817171884?classType=VARIANT,16,3.5,Cheap
"Apple MacBook Air 13.3 inch Laptop - Space Gray, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",649.0,4.7,4895,https://walmart.com/ip/Apple-MacBook-Air-13-3-inch-Laptop-Space-Gray-M1-Chip-8GB-RAM-256GB-storage/609040889?classType=VARIANT,8,4.5,Standard
"ASUS Vivobook S 14 Copilot+ PC 14"" WUXGA OLED Windows Laptop Intel Core Ultra 7 Series 2 258V AI PC Intel Evo 32GB RAM 1TB SSD Black",799.0,4.7,56,https://walmart.com/ip/ASUS-Vivobook-S-14-14-WUXGA-OLED-PC-Laptop-Intel-Core-Ultra-7-32GB-RAM-1TB-SSD-Black-S5406/7447569796?classType=REGULAR&athbdg=L1300,32,4.5,Moderate
ASUS Vivobook Go 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB UFS Black,249.0,4.5,275,https://walmart.com/ip/ASUS-Vivobook-Go-15-6-PC-Laptop-Intel-i3-N305-8GB-256GB-Win-11-Home-S-mode-Mixed-Black-E1504GA-WS36/5727766555?classType=REGULAR,8,4.5,Cheap
Lenovo IdeaPad 3i 15 inch Windows Laptop Intel Core i7-1255U 16GB RAM 512GB SSD Arctic Grey,598.0,4.6,287,https://walmart.com/ip/Lenovo-IdeaPad-3i-15-Intel-Core-i7-1255U-16GB-RAM-512-GB-SSD-Arctic-Grey-Windows-11-Home-82RK017QUS/5527026637?classType=REGULAR,16,4.5,Standard
ASUS Vivobook 15.6 inch Windows Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Quiet Blue,299.99,4.6,76,https://walmart.com/ip/ASUS-Vivobook-15-6-inch-PC-Laptop-Intel-Core-i5-1235U-8GB-RAM-256GB-SSD-Quiet-Blue/9963221656?classType=REGULAR,8,4.5,Cheap
ASUS Vivobook S 16 Flip 16 inch Touch 2-in-1 Windows Laptop Intel Core i5-1335U 8GB RAM 512GB SSD Midnight Black,498.0,4.6,135,https://walmart.com/ip/ASUS-Vivobook-S-16-Flip-16-inch-Touch-2-in-1-Laptop-Intel-Core-i5-1335U-8GB-RAM-512GB-SSD-Midnight-Black/5105358616?classType=REGULAR&athbdg=L1300,8,4.5,Cheap
